"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
2003-11,3442.681,,6336.860,,-2894.179,,123.106,,-71.765,,2253.655,,1694.727,,394.295,,-2130.549,,3319.575,,4083.205,,277.681,,277.681,,81.292,,-763.630,
2003-12,4063.563,,6296.956,,-2233.393,,746.341,,125.197,,2255.976,,1453.699,,410.459,,-1509.635,,3317.222,,4040.980,,277.681,,277.681,,102.865,,-723.758,
2004-01,3195.908,,7201.890,,-4005.982,,401.749,,241.319,,3573.866,,2507.086,,377.542,,-3172.117,,2794.159,,3628.024,,264.984,,264.984,,82.125,,-833.865,
2004-02,2954.437,,5842.048,,-2887.611,,184.468,,19.187,,2337.408,,1689.323,,379.858,,-2152.940,,2769.969,,3504.640,,264.984,,264.984,,86.530,,-734.671,
2004-03,5503.223,,7889.860,,-2386.637,,357.495,,178.704,,1903.263,,1217.489,,417.628,,-1545.768,,5145.728,,5986.597,,264.984,,264.984,,82.498,,-840.869,
2004-04,3378.387,,4859.418,,-1481.031,,892.511,,643.644,,1433.797,,790.680,,396.732,,-541.286,,2485.876,,3425.621,,264.984,,264.984,,85.015,,-939.745,
2004-05,3289.232,,5667.852,,-2378.620,,827.273,,448.846,,2149.553,,1513.248,,398.667,,-1322.280,,2461.959,,3518.299,,264.984,,264.984,,80.417,,-1056.340,
2004-06,3439.154,,5969.189,,-2530.035,,800.635,,397.330,,2471.299,,1515.438,,408.047,,-1670.664,,2638.519,,3497.890,,264.984,,264.984,,86.887,,-859.371,
2004-07,2814.570,,5853.006,,-3038.436,,450.619,,46.716,,2429.234,,1515.438,,400.123,,-1978.615,,2363.951,,3423.772,,264.984,,264.984,,95.103,,-1059.821,
2004-08,2821.226,,5344.598,,-2523.372,,467.734,,1.949,,2201.731,,1515.438,,383.109,,-1733.997,,2353.492,,3142.867,,264.984,,264.984,,90.007,,-789.375,
2004-09,2867.506,,5350.948,,-2483.442,,524.786,,101.153,,2132.133,,1555.486,,403.750,,-1607.347,,2342.720,,3218.815,,264.984,,264.984,,89.408,,-876.095,
2004-10,2685.678,,4906.024,,-2220.346,,231.597,,-23.243,,1722.084,,1092.732,,398.234,,-1490.487,,2454.081,,3183.940,,264.984,,264.984,,84.024,,-729.859,
2004-11,2749.834,,4862.984,,-2113.150,,339.933,,8.872,,1677.791,,1043.735,,394.231,,-1337.858,,2409.901,,3185.193,,264.984,,264.984,,83.119,,-775.292,
2004-12,3120.284,,5028.426,,-1908.142,,642.332,,178.808,,1532.170,,625.494,,422.000,,-889.838,,2477.952,,3496.256,,264.984,,264.984,,104.481,,-1018.304,
2005-01,2985.970,,9169.536,,-6183.566,,354.684,,183.801,,5625.528,,4473.096,,386.359,,-5270.844,,2631.286,,3544.008,,243.840,,243.840,,91.847,,-912.722,
2005-02,2829.848,,5445.328,,-2615.480,,196.443,,53.636,,1893.842,,1192.253,,385.934,,-1697.399,,2633.405,,3551.486,,243.840,,243.840,,89.037,,-918.081,
2005-03,5667.775,,8317.151,,-2649.376,,570.718,,180.668,,1914.983,,1307.236,,409.008,,-1344.265,,5097.057,,6402.168,,243.840,,243.840,,90.873,,-1305.111,
2005-04,3827.852,,5223.173,,-1395.321,,1114.323,,878.782,,1597.466,,980.426,,405.198,,-483.143,,2713.529,,3625.707,,243.840,,243.840,,87.248,,-912.178,
2005-05,4145.136,,5934.724,,-1789.588,,1384.749,,650.830,,1982.913,,1307.236,,385.261,,-598.164,,2760.387,,3951.811,,243.840,,243.840,,83.407,,-1191.424,
2005-06,3273.731,,5785.039,,-2511.308,,556.456,,169.331,,2157.093,,1307.235,,420.651,,-1600.637,,2717.275,,3627.946,,243.840,,243.840,,87.179,,-910.671,
2005-07,3249.141,,5542.367,,-2293.226,,510.986,,88.139,,1969.728,,1307.236,,410.470,,-1458.742,,2738.155,,3572.639,,243.840,,243.840,,87.523,,-834.484,
2005-08,3213.893,,5865.696,,-2651.803,,499.912,,62.476,,2171.244,,1330.552,,392.726,,-1671.332,,2713.981,,3694.452,,243.840,,243.840,,86.926,,-980.471,
2005-09,3296.761,,5888.799,,-2592.038,,543.912,,239.170,,2281.934,,1633.272,,422.203,,-1738.022,,2752.849,,3606.865,,243.840,,243.840,,89.988,,-854.016,
2005-10,2872.070,,4936.323,,-2064.253,,182.816,,-51.396,,1360.210,,782.093,,400.500,,-1177.394,,2689.254,,3576.113,,243.840,,243.840,,88.262,,-886.859,
2005-11,3054.445,,5765.699,,-2711.254,,349.505,,22.855,,2171.233,,1548.163,,393.962,,-1821.728,,2704.940,,3594.466,,243.840,,243.840,,88.435,,-889.526,
2005-12,3863.482,,5746.804,,-1883.322,,657.447,,306.863,,1853.062,,1164.655,,432.016,,-1195.615,,3206.035,,3893.742,,243.840,,243.840,,120.121,,-687.707,
2006-01,3058.149,,5397.653,,-2339.504,,579.345,,226.196,,1988.758,,891.944,,390.511,,-1409.413,,2478.804,,3408.895,,243.878,,243.878,,113.659,,-930.091,
2006-02,2934.819,,8333.865,,-5399.046,,445.236,,16.406,,4999.442,,4322.793,,393.055,,-4554.206,,2489.583,,3334.423,,243.878,,243.878,,126.375,,-844.840,
2006-03,5968.842,,8353.742,,-2384.900,,581.614,,422.774,,1842.997,,1257.991,,415.160,,-1261.383,,5387.228,,6510.745,,243.878,,243.878,,104.735,,-1123.517,
2006-04,3175.325,,5249.826,,-2074.501,,672.964,,443.651,,1865.826,,1257.991,,399.539,,-1192.862,,2502.361,,3384.000,,243.878,,243.878,,106.593,,-881.639,
2006-05,4519.311,,5326.627,,-807.316,,2182.930,,1953.403,,1847.854,,1257.991,,394.738,,335.076,,2336.381,,3478.773,,243.878,,243.878,,111.295,,-1142.392,
2006-06,3380.292,,5008.903,,-1628.611,,1012.057,,427.441,,1598.653,,910.633,,416.313,,-586.596,,2368.235,,3410.250,,243.878,,243.878,,113.461,,-1042.015,
2006-07,2622.307,,5884.765,,-3262.458,,336.597,,79.901,,2330.953,,1480.088,,409.326,,-1994.356,,2285.710,,3553.812,,243.878,,243.878,,110.186,,-1268.102,
2006-08,2932.930,,5518.297,,-2585.367,,624.719,,87.263,,2319.632,,1753.562,,396.107,,-1694.913,,2308.211,,3198.665,,243.878,,243.878,,106.271,,-890.454,
2006-09,2857.923,,5585.835,,-2727.912,,549.789,,239.428,,2348.613,,1782.530,,422.388,,-1798.824,,2308.134,,3237.222,,243.878,,243.878,,105.748,,-929.088,
2006-10,2493.292,,5660.363,,-3167.071,,204.951,,3.242,,2430.741,,1753.563,,409.038,,-2225.790,,2288.341,,3229.622,,243.878,,243.878,,106.599,,-941.281,
2006-11,2817.682,,5445.590,,-2627.908,,569.950,,31.693,,2153.779,,1445.697,,401.736,,-1583.829,,2247.732,,3291.811,,243.878,,243.878,,107.781,,-1044.079,
2006-12,3014.252,,6023.232,,-3008.980,,671.174,,339.013,,2441.025,,1664.214,,430.894,,-1769.851,,2343.078,,3582.207,,243.878,,243.878,,155.285,,-1239.129,
2007-01,2954.749,,6035.090,,-3080.341,,590.777,,318.854,,2700.443,,1534.732,,401.619,,-2109.666,,2363.972,,3334.647,,249.732,,249.732,,126.393,,-970.675,
2007-02,2465.663,,8864.573,,-6398.910,,164.656,,-2.558,,5325.889,,4510.292,,421.584,,-5161.233,,2301.007,,3538.684,,249.732,,249.732,,128.922,,-1237.677,
2007-03,7127.306,,9460.643,,-2333.337,,359.617,,202.691,,1543.626,,930.004,,420.605,,-1184.009,,6767.689,,7917.017,,249.732,,249.732,,125.050,,-1149.328,
2007-04,3881.535,,5499.976,,-1618.441,,1476.416,,1264.755,,1818.957,,1240.004,,406.812,,-342.541,,2405.119,,3681.019,,249.732,,249.732,,128.511,,-1275.900,
2007-05,5862.744,,6286.881,,-424.137,,3435.649,,2844.764,,1504.027,,930.004,,396.805,,1931.622,,2427.095,,4782.854,,249.732,,249.732,,125.503,,-2355.759,
2007-06,3213.400,,4954.084,,-1740.684,,769.688,,528.147,,1286.049,,465.002,,433.089,,-516.361,,2443.712,,3668.035,,249.732,,249.732,,124.793,,-1224.323,
2007-07,2686.341,,5421.389,,-2735.048,,289.634,,23.197,,1930.539,,1013.758,,415.348,,-1640.905,,2396.707,,3490.850,,249.732,,249.732,,233.819,,-1094.143,
2007-08,2952.487,,5675.689,,-2723.202,,567.911,,67.461,,2149.732,,1517.685,,404.569,,-1581.821,,2384.576,,3525.957,,249.732,,249.732,,128.526,,-1141.381,
2007-09,2980.560,,5609.483,,-2628.923,,533.769,,260.983,,2059.206,,1517.684,,428.206,,-1525.437,,2446.791,,3550.277,,249.732,,249.732,,123.589,,-1103.486,
2007-10,2699.741,,5750.964,,-3051.223,,292.629,,-8.000,,2159.011,,1517.330,,411.058,,-1866.382,,2407.112,,3591.953,,249.732,,249.732,,125.238,,-1184.841,
2007-11,2568.252,,5776.104,,-3207.852,,206.986,,-17.211,,2201.444,,1524.778,,406.711,,-1994.458,,2361.266,,3574.660,,249.732,,249.732,,122.181,,-1213.394,
2007-12,3096.777,,6544.579,,-3447.802,,649.446,,387.059,,3028.809,,2239.526,,434.036,,-2379.363,,2447.331,,3515.770,,249.732,,249.732,,152.604,,-1068.439,
2008-01,3450.823,,6733.266,,-3282.443,,1093.754,,387.156,,3027.144,,1856.348,,414.931,,-1933.390,,2357.069,,3706.122,,256.604,,256.604,,147.481,,-1349.053,
2008-02,2573.270,,7402.727,,-4829.457,,217.412,,5.622,,3978.562,,3163.517,,411.930,,-3761.150,,2355.858,,3424.165,,256.604,,256.604,,124.523,,-1068.307,
2008-03,9858.139,,12713.790,,-2855.651,,649.442,,509.072,,2187.587,,1565.904,,432.020,,-1538.145,,9208.697,,10526.203,,256.604,,256.604,,129.773,,-1317.506,
2008-04,4382.121,,5858.766,,-1476.645,,2034.040,,1717.383,,2278.555,,1565.904,,419.822,,-244.515,,2348.081,,3580.211,,256.604,,256.604,,126.721,,-1232.130,
2008-05,5021.076,,5072.984,,-51.908,,2666.180,,2296.692,,1502.150,,957.950,,408.698,,1164.030,,2354.896,,3570.834,,256.604,,256.604,,125.794,,-1215.938,
2008-06,3303.948,,5863.600,,-2559.652,,860.766,,631.289,,1663.940,,784.347,,446.857,,-803.174,,2443.182,,4199.660,,256.604,,256.604,,124.940,,-1756.478,
2008-07,2706.063,,5297.159,,-2591.096,,406.531,,113.862,,1650.645,,647.048,,428.973,,-1244.114,,2299.532,,3646.514,,256.604,,256.604,,131.018,,-1346.982,
2008-08,2678.417,,5626.396,,-2947.979,,300.841,,-55.323,,1651.963,,918.294,,416.364,,-1351.122,,2377.576,,3974.433,,256.604,,256.604,,123.200,,-1596.857,
2008-09,2790.327,,5161.739,,-2371.412,,462.694,,202.305,,1721.298,,1071.342,,443.892,,-1258.604,,2327.633,,3440.441,,256.604,,256.604,,125.525,,-1112.808,
2008-10,2422.022,,6156.384,,-3734.362,,158.795,,-84.188,,2634.933,,1975.519,,431.822,,-2476.138,,2263.227,,3521.451,,256.604,,256.604,,125.249,,-1258.224,
2008-11,2364.863,,5669.346,,-3304.483,,67.896,,-121.550,,2323.315,,1574.991,,421.546,,-2255.419,,2296.967,,3346.031,,256.604,,256.604,,123.753,,-1049.064,
2008-12,3080.899,,7222.993,,-4142.094,,582.069,,323.147,,3038.052,,2117.162,,456.364,,-2455.983,,2498.830,,4184.941,,256.604,,256.604,,157.538,,-1686.111,
2009-01,2704.223,,6219.870,,-3515.647,,539.836,,355.925,,2672.092,,1336.239,,435.961,,-2132.256,,2164.387,,3547.778,,249.558,,249.558,,154.641,,-1383.391,
2009-02,2579.940,,6512.540,,-3932.600,,341.140,,-1.445,,3380.858,,2538.632,,427.075,,-3039.718,,2238.800,,3131.682,,249.558,,249.558,,148.493,,-892.882,
2009-03,10809.030,,13837.534,,-3028.504,,470.889,,312.508,,2149.437,,1354.581,,455.302,,-1678.548,,10338.141,,11688.097,,249.558,,249.558,,151.432,,-1349.956,
2009-04,3834.066,,6115.451,,-2281.385,,1767.256,,1446.294,,2179.539,,1364.581,,440.848,,-412.283,,2066.810,,3935.912,,249.558,,249.558,,154.068,,-1869.102,
2009-05,4315.562,,4634.094,,-318.532,,2209.006,,1975.269,,1468.653,,840.964,,437.969,,740.353,,2106.556,,3165.441,,249.558,,249.558,,154.517,,-1058.885,
2009-06,2590.413,,4854.154,,-2263.741,,470.020,,236.233,,1813.386,,982.876,,471.676,,-1343.366,,2120.393,,3040.768,,249.558,,249.558,,154.050,,-920.375,
2009-07,2519.956,,4759.662,,-2239.706,,373.568,,50.734,,1420.332,,592.647,,458.021,,-1046.764,,2146.388,,3339.330,,249.558,,249.558,,156.485,,-1192.942,
2009-08,2322.211,,5354.771,,-3032.560,,198.599,,-84.849,,2324.641,,1333.457,,442.377,,-2126.042,,2123.612,,3030.130,,249.558,,249.558,,151.542,,-906.518,
2009-09,2454.269,,4770.897,,-2316.628,,387.108,,101.765,,1734.180,,1037.133,,472.853,,-1347.072,,2067.161,,3036.717,,249.558,,249.558,,153.230,,-969.556,
2009-10,2273.970,,6980.958,,-4706.988,,61.001,,-138.743,,3847.140,,3054.596,,460.402,,-3786.139,,2212.969,,3133.818,,249.558,,249.558,,157.032,,-920.849,
2009-11,2288.808,,5854.710,,-3565.902,,47.375,,-152.830,,2417.527,,1638.916,,443.700,,-2370.152,,2241.433,,3437.183,,249.558,,249.558,,160.336,,-1195.750,
2009-12,2785.886,,6347.346,,-3561.460,,474.611,,228.555,,2854.250,,1854.962,,480.691,,-2379.639,,2311.275,,3493.096,,249.558,,249.558,,198.719,,-1181.821,
2010-01,2903.466,,7156.500,,-4253.034,,595.524,,209.297,,3800.280,,2228.639,,461.810,,-3204.756,,2307.942,,3356.220,,252.905,,252.905,,168.619,,-1048.278,
2010-02,2596.588,,9024.491,,-6427.903,,139.510,,-17.618,,5726.683,,4781.674,,451.401,,-5587.173,,2457.078,,3297.808,,252.905,,252.905,,158.550,,-840.730,
2010-03,5768.377,,8461.234,,-2692.857,,323.477,,166.101,,1616.434,,875.673,,478.833,,-1292.957,,5444.900,,6844.800,,252.905,,252.905,,161.171,,-1399.900,
2010-04,3852.497,,5712.524,,-1860.027,,1322.439,,1091.409,,1819.716,,875.673,,497.426,,-497.277,,2530.058,,3892.808,,252.905,,252.905,,169.976,,-1362.750,
2010-05,4733.599,,5932.828,,-1199.229,,2197.068,,1871.022,,2103.033,,1409.701,,481.429,,94.035,,2536.531,,3829.795,,252.905,,252.905,,163.440,,-1293.264,
2010-06,3296.346,,5653.889,,-2357.543,,659.247,,428.394,,1533.485,,700.539,,511.647,,-874.238,,2637.099,,4120.404,,252.905,,252.905,,448.187,,-1483.305,
2010-07,3136.203,,6494.971,,-3358.768,,406.813,,30.525,,2498.681,,1402.027,,491.140,,-2091.868,,2729.390,,3996.290,,252.905,,252.905,,163.769,,-1266.900,
2010-08,3136.643,,6360.703,,-3224.060,,259.260,,-23.741,,2437.817,,1445.423,,475.493,,-2178.557,,2877.383,,3922.886,,252.905,,252.905,,160.494,,-1045.503,
2010-09,3225.229,,6503.354,,-3278.125,,539.285,,255.872,,2554.898,,1713.224,,507.321,,-2015.613,,2685.944,,3948.456,,252.905,,252.905,,169.043,,-1262.512,
2010-10,3153.171,,6579.256,,-3426.085,,123.359,,-77.595,,2586.405,,1713.224,,490.633,,-2463.046,,3029.812,,3992.851,,252.905,,252.905,,170.244,,-963.039,
2010-11,3189.441,,6719.757,,-3530.316,,162.092,,-174.782,,2659.369,,1791.419,,478.110,,-2497.277,,3027.349,,4060.388,,252.905,,252.905,,166.241,,-1033.039,
2010-12,3635.712,,7609.292,,-3973.580,,643.380,,397.569,,2969.344,,1713.318,,512.773,,-2325.964,,2992.332,,4639.948,,252.905,,252.905,,209.199,,-1647.616,
2011-01,3799.842,,7534.902,,-3735.060,,673.884,,364.471,,3386.860,,1765.158,,484.778,,-2712.976,,3125.958,,4148.042,,248.056,,248.056,,191.836,,-1022.084,
2011-02,3284.652,,9532.853,,-6248.201,,141.454,,-37.615,,5316.517,,4379.499,,480.672,,-5175.063,,3143.198,,4216.336,,248.056,,248.056,,188.510,,-1073.138,
2011-03,6418.310,,8997.600,,-2579.290,,431.973,,251.503,,1823.076,,1060.073,,508.140,,-1391.103,,5986.337,,7174.524,,248.056,,248.056,,194.203,,-1188.187,
2011-04,4892.160,,6081.367,,-1189.207,,1745.037,,1475.674,,1876.549,,882.913,,503.200,,-131.512,,3147.123,,4204.818,,248.056,,248.056,,201.273,,-1057.695,
2011-05,6612.425,,6947.137,,-334.712,,3463.605,,3184.001,,1944.271,,1236.078,,481.052,,1519.334,,3148.820,,5002.866,,248.056,,248.056,,198.208,,-1854.046,
2011-06,3946.166,,6206.354,,-2260.188,,790.602,,518.974,,1865.129,,1059.495,,516.608,,-1074.527,,3155.564,,4341.225,,248.056,,248.056,,195.347,,-1185.661,
2011-07,3675.859,,6784.538,,-3108.679,,525.847,,-46.310,,2649.819,,1589.243,,496.709,,-2123.972,,3150.012,,4134.719,,248.056,,248.056,,197.035,,-984.707,
2011-08,3591.815,,6358.920,,-2767.105,,368.932,,24.651,,2120.920,,1150.563,,485.357,,-1751.988,,3222.883,,4238.000,,248.056,,248.056,,191.322,,-1015.117,
2011-09,3868.664,,6628.285,,-2759.621,,674.869,,333.169,,2477.713,,1689.766,,510.686,,-1802.844,,3193.795,,4150.572,,248.056,,248.056,,191.973,,-956.777,
2011-10,3385.422,,6670.903,,-3285.481,,239.926,,-61.926,,2480.434,,1688.918,,500.895,,-2240.508,,3145.496,,4190.469,,248.056,,248.056,,196.557,,-1044.973,
2011-11,3584.420,,6800.057,,-3215.637,,416.549,,-74.130,,2627.968,,1701.126,,478.682,,-2211.419,,3167.871,,4172.089,,248.056,,248.056,,195.873,,-1004.218,
2011-12,3941.415,,7245.211,,-3303.796,,756.900,,416.019,,2935.710,,1690.080,,514.321,,-2178.810,,3184.515,,4309.501,,248.056,,248.056,,251.353,,-1124.986,
2012-01,3707.662,,7542.371,,-3834.709,,457.855,,230.012,,3239.112,,1622.754,,497.939,,-2781.257,,3249.807,,4303.259,,245.970,,245.970,,204.002,,-1053.452,
2012-02,3504.271,,10603.351,,-7099.080,,282.182,,1.033,,6395.313,,5290.984,,484.201,,-6113.131,,3222.089,,4208.038,,245.970,,245.970,,197.084,,-985.949,
2012-03,8099.917,,11241.942,,-3142.025,,508.874,,295.469,,2630.754,,1783.327,,516.282,,-2121.880,,7591.043,,8611.188,,245.970,,245.970,,199.570,,-1020.145,
2012-04,4938.618,,7164.173,,-2225.555,,1628.372,,1334.747,,2910.633,,1783.327,,507.451,,-1282.261,,3310.246,,4253.540,,245.970,,245.970,,204.436,,-943.294,
2012-05,5709.410,,6829.662,,-1120.252,,2337.105,,2044.891,,2344.230,,1604.994,,488.698,,-7.125,,3372.305,,4485.432,,245.970,,245.970,,207.775,,-1113.127,
2012-06,4383.218,,6489.609,,-2106.391,,1022.057,,555.965,,2083.734,,891.663,,525.610,,-1061.677,,3361.161,,4405.875,,245.970,,245.970,,202.165,,-1044.714,
2012-07,3930.919,,6060.754,,-2129.835,,644.457,,24.533,,1690.629,,891.664,,521.935,,-1046.172,,3286.462,,4370.125,,245.970,,245.970,,202.967,,-1083.663,
2012-08,3657.492,,6898.972,,-3241.480,,349.179,,-14.081,,2515.760,,1554.757,,502.871,,-2166.581,,3308.313,,4383.212,,245.970,,245.970,,201.015,,-1074.899,
2012-09,4008.856,,6850.989,,-2842.133,,680.016,,320.381,,2519.682,,1757.645,,523.495,,-1839.666,,3328.840,,4331.307,,245.970,,245.970,,201.842,,-1002.467,
2012-10,3636.079,,6678.727,,-3042.648,,249.135,,-47.744,,2446.359,,1406.116,,513.705,,-2197.224,,3386.944,,4232.368,,245.970,,245.970,,206.599,,-845.424,
2012-11,3421.579,,6060.741,,-2639.162,,47.527,,-250.937,,1843.750,,1054.587,,495.705,,-1796.223,,3374.052,,4216.991,,245.970,,245.970,,204.386,,-842.939,
2012-12,3939.824,,9219.440,,-5279.616,,581.933,,231.156,,3614.461,,2211.710,,531.778,,-3032.528,,3357.891,,5604.979,,245.970,,245.970,,1190.927,,-2247.088,
2013-01,4344.028,,9622.176,,-5278.148,,787.746,,318.009,,5015.530,,3278.381,,511.912,,-4227.784,,3556.282,,4606.646,,269.079,,269.079,,192.748,,-1050.364,
2013-02,3963.311,,10763.418,,-6800.107,,353.978,,130.410,,6205.961,,4922.358,,503.593,,-5851.983,,3609.333,,4557.457,,269.079,,269.079,,191.597,,-948.124,
2013-03,10641.048,,14393.783,,-3752.735,,715.705,,498.190,,2568.725,,1863.962,,527.383,,-1853.020,,9925.343,,11825.058,,269.079,,269.079,,192.332,,-1899.715,
2013-04,5359.821,,7541.455,,-2181.634,,1764.175,,1414.612,,2917.845,,1863.962,,517.975,,-1153.670,,3595.646,,4623.610,,269.119,,269.079,,198.570,,-1027.964,
2013-05,5235.061,,7291.620,,-2056.559,,1646.231,,1267.596,,2560.321,,1863.962,,496.656,,-914.090,,3588.830,,4731.299,,269.093,,269.079,,198.009,,-1142.469,
2013-06,4679.520,,7821.375,,-3141.855,,1064.300,,755.618,,2953.645,,1863.962,,528.646,,-1889.345,,3615.220,,4867.730,,269.093,,269.079,,200.568,,-1252.510,
2013-07,4460.453,,7714.489,,-3254.036,,769.421,,120.489,,3064.071,,1863.962,,525.859,,-2294.650,,3691.032,,4650.418,,274.089,,269.079,,197.872,,-959.386,
2013-08,3923.360,,7441.820,,-3518.460,,383.927,,18.421,,2956.652,,1883.735,,508.610,,-2572.725,,3539.433,,4485.168,,274.097,,269.079,,186.044,,-945.735,
2013-09,4757.135,,7182.504,,-2425.369,,1186.979,,827.021,,2608.005,,1865.939,,526.775,,-1421.026,,3570.156,,4574.499,,272.230,,269.079,,185.195,,-1004.343,
2013-10,4033.862,,6920.980,,-2887.118,,463.003,,161.135,,2182.664,,1134.285,,530.309,,-1719.661,,3570.859,,4738.316,,273.076,,269.079,,190.501,,-1167.457,
2013-11,4133.907,,6221.445,,-2087.538,,403.095,,25.121,,1767.707,,984.528,,506.395,,-1364.612,,3730.812,,4453.738,,271.242,,269.079,,190.049,,-722.926,
2013-12,4789.365,,10818.927,,-6029.562,,1123.501,,636.890,,4784.143,,3480.938,,536.095,,-3660.642,,3665.864,,6034.784,,270.744,,269.079,,485.156,,-2368.920,
2014-01,4546.050,,8923.228,,-4377.178,,832.904,,572.860,,4241.228,,2517.558,,528.366,,-3408.324,,3713.146,,4682.000,,290.836,,287.605,,190.523,,-968.854,
2014-02,4221.810,,11574.666,,-7352.856,,528.545,,265.066,,7020.610,,5835.863,,511.065,,-6492.065,,3693.265,,4554.055,,290.122,,287.605,,190.523,,-860.790,
2014-03,8965.814,,12116.010,,-3150.196,,675.696,,441.785,,2799.165,,2088.355,,536.165,,-2123.469,,8290.118,,9316.845,,289.881,,287.605,,190.523,,-1026.728,
2014-04,4956.202,,8222.696,,-3266.494,,1261.839,,940.224,,2906.176,,2088.355,,531.488,,-1644.337,,3694.363,,5316.520,,290.076,,287.605,,196.312,,-1622.157,
2014-05,6902.143,,7996.261,,-1094.118,,3109.794,,2798.155,,2960.147,,2088.355,,506.957,,149.647,,3792.349,,5036.113,,290.190,,287.605,,196.312,,-1243.765,
2014-06,5559.815,,8281.986,,-2722.170,,1827.443,,1386.090,,3009.700,,1879.520,,542.730,,-1182.257,,3732.372,,5272.286,,289.178,,287.605,,196.312,,-1539.913,
2014-07,4426.569,,7819.493,,-3392.924,,608.205,,221.373,,3017.611,,1461.849,,544.538,,-2409.406,,3818.364,,4801.882,,289.223,,287.605,,194.267,,-983.518,
2014-08,4500.371,,6843.096,,-2342.724,,730.416,,269.121,,2264.519,,1253.013,,530.330,,-1534.103,,3769.955,,4578.576,,289.995,,287.605,,194.267,,-808.621,
2014-09,4673.161,,6990.301,,-2317.140,,821.995,,448.664,,1758.866,,835.342,,591.089,,-936.871,,3851.166,,5231.435,,290.388,,287.605,,194.267,,-1380.270,
2014-10,4385.083,,6965.932,,-2580.849,,461.584,,136.902,,2309.920,,1044.178,,579.029,,-1848.336,,3923.499,,4656.012,,289.207,,287.605,,199.797,,-732.513,
2014-11,4324.454,,7838.050,,-3513.597,,360.266,,16.232,,3042.219,,1879.520,,623.092,,-2681.953,,3964.188,,4795.831,,288.651,,287.605,,199.797,,-831.643,
2014-12,5013.665,,10074.923,,-5061.258,,1063.761,,608.217,,5098.245,,3462.100,,618.110,,-4034.484,,3949.904,,4976.678,,288.909,,287.605,,258.265,,-1026.774,
2015-01,5287.543,,9540.601,,-4253.059,,1040.805,,790.073,,4302.819,,2226.496,,581.408,,-3262.015,,4246.738,,5237.782,,294.607,,293.586,,207.849,,-991.044,
2015-02,4873.408,,12283.929,,-7410.521,,512.231,,261.523,,7118.953,,6052.570,,570.319,,-6606.722,,4361.177,,5164.976,,295.716,,293.586,,207.849,,-803.799,
